"year","quarter","HPI_state","state_code","HPI_US","income_state","income_US","RelPrice","RelIncome","AffordGap","PriceIndexSelf","IncomeIndexSelf","AffordLevel"
2012,1,173.03,"MS",177.21,2577,3253.5,0.9764121663563,0.792070078377132,1.23273456858371,1.24124820659971,1.58251880661174,0.784349735000808
2012,1,173.03,"MS",NA,2577,3253.5,NA,0.792070078377132,NA,1.24124820659971,1.58251880661174,0.784349735000808
2012,2,173.16,"MS",NA,2583.5,3277.5,NA,0.788253241800153,NA,1.24218077474892,1.58651041400133,0.782964148099114
2012,2,173.16,"MS",179.97,2583.5,3277.5,0.96216036006001,0.788253241800153,1.22062341014,1.24218077474892,1.58651041400133,0.782964148099114
2012,3,176.37,"MS",182.15,2590,3254.16666666667,0.968267911062311,0.795902688860435,1.21656569906639,1.26520803443329,1.59050202139092,0.795477162189859
2012,3,176.37,"MS",NA,2590,3254.16666666667,NA,0.795902688860435,NA,1.26520803443329,1.59050202139092,0.795477162189859
2012,4,176.31,"MS",184.9,2596.5,3356.5,0.953542455381287,0.773573663041859,1.23264596629589,1.26477761836442,1.59449362878051,0.793215849555784
2012,4,176.31,"MS",NA,2596.5,3356.5,NA,0.773573663041859,NA,1.26477761836442,1.59449362878051,0.793215849555784
2013,1,178.9,"MS",188.74,2603,3229.58333333333,0.947864787538413,0.805986324345246,1.17603085673746,1.28335724533716,1.5984852361701,0.802858366344392
2013,1,178.9,"MS",NA,2603,3229.58333333333,NA,0.805986324345246,NA,1.28335724533716,1.5984852361701,0.802858366344392
2013,2,180.09,"MS",192.48,2615.77083333333,3250.16666666667,0.935629675810474,0.804811291728629,1.16254541334884,1.29189383070301,1.60632772120158,0.804252963857613
2013,2,180.09,"MS",NA,2615.77083333333,3250.16666666667,NA,0.804811291728629,NA,1.29189383070301,1.60632772120158,0.804252963857613
2013,3,177.88,"MS",195.47,2628.54166666667,3268.08333333333,0.910011766511485,0.804306805722008,1.13142368066199,1.27604017216643,1.61417020623305,0.790523928170061
2013,3,177.88,"MS",NA,2628.54166666667,3268.08333333333,NA,0.804306805722008,NA,1.27604017216643,1.61417020623305,0.790523928170061
2013,4,177.99,"MS",197.43,2641.3125,3277.66666666667,0.901534721166996,0.80585146954134,1.11873559240404,1.27682926829268,1.62201269126452,0.787188210776124
2013,4,177.99,"MS",NA,2641.3125,3277.66666666667,NA,0.80585146954134,NA,1.27682926829268,1.62201269126452,0.787188210776124
2014,1,179.41,"MS",NA,2654.08333333333,3325.16666666667,NA,0.798180542328705,NA,1.28701578192252,1.62985517629599,0.789650393875728
2014,1,179.41,"MS",199.82,2654.08333333333,3325.16666666667,0.897858072265039,0.798180542328705,1.12488093188231,1.28701578192252,1.62985517629599,0.789650393875728
2014,2,179.81,"MS",201.53,2660.625,3375.83333333333,0.892224482707289,0.788138731177487,1.13206526644655,1.28988522238164,1.63387237091244,0.789465104707839
2014,2,179.81,"MS",NA,2660.625,3375.83333333333,NA,0.788138731177487,NA,1.28988522238164,1.63387237091244,0.789465104707839
2014,3,182.14,"MS",203.72,2667.16666666667,3409.5,0.894070292558413,0.782275015886982,1.14291045271933,1.30659971305595,1.63788956552889,0.797733705955958
2014,3,182.14,"MS",NA,2667.16666666667,3409.5,NA,0.782275015886982,NA,1.30659971305595,1.63788956552889,0.797733705955958
2014,4,180.81,"MS",206.33,2673.70833333333,3446.08333333333,0.876314641593564,0.77586873987377,1.12946249353484,1.29705882352941,1.64190676014534,0.789971059875898
2014,4,180.81,"MS",NA,2673.70833333333,3446.08333333333,NA,0.77586873987377,NA,1.29705882352941,1.64190676014534,0.789971059875898
2015,1,184.96,"MS",209.17,2680.25,3471.83333333333,0.884256824592437,0.771998463827949,1.14541267376085,1.32682926829268,1.64592395476178,0.806130358850459
2015,1,184.96,"MS",NA,2680.25,3471.83333333333,NA,0.771998463827949,NA,1.32682926829268,1.64592395476178,0.806130358850459
2015,2,185.29,"MS",211.86,2689.77083333333,3493.41666666667,0.874586991409421,0.76995419956585,1.13589482582544,1.32919655667145,1.65177063609846,0.804710125983991
2015,2,185.29,"MS",NA,2689.77083333333,3493.41666666667,NA,0.76995419956585,NA,1.32919655667145,1.65177063609846,0.804710125983991
2015,3,186,"MS",NA,2699.29166666667,3514.58333333333,NA,0.768026081802015,NA,1.33428981348637,1.65761731743514,0.804944422003833
2015,3,186,"MS",214.44,2699.29166666667,3514.58333333333,0.867375489647454,0.768026081802015,1.12935681508672,1.33428981348637,1.65761731743514,0.804944422003833
2015,4,189.6,"MS",NA,2708.8125,3524.25,NA,0.768620983187912,NA,1.36011477761836,1.66346399877181,0.817640044282641
2015,4,189.6,"MS",217.45,2708.8125,3524.25,0.871924580363302,0.768620983187912,1.13440121911183,1.36011477761836,1.66346399877181,0.817640044282641
2016,1,189.51,"MS",220.17,2718.33333333333,3548.25,0.860743970568197,0.766105357100918,1.12353211290077,1.35946915351506,1.66931068010849,0.814389537977863
2016,1,189.51,"MS",NA,2718.33333333333,3548.25,NA,0.766105357100918,NA,1.35946915351506,1.66931068010849,0.814389537977863
2016,2,190.32,"MS",NA,2739.72916666667,3557.25,NA,0.770181788366482,NA,1.36527977044476,1.68244972109923,0.81148325166755
2016,2,190.32,"MS",223.34,2739.72916666667,3557.25,0.852153667054715,0.770181788366482,1.10643185794109,1.36527977044476,1.68244972109923,0.81148325166755
2016,3,191.92,"MS",226.66,2761.125,3582.41666666667,0.846730786199594,0.77074367861546,1.098589336108,1.37675753228121,1.69558876208996,0.811964294092294
2016,3,191.92,"MS",NA,2761.125,3582.41666666667,NA,0.77074367861546,NA,1.37675753228121,1.69558876208996,0.811964294092294
2016,4,194.43,"MS",NA,2782.52083333333,3615.16666666667,NA,0.769679821123968,NA,1.39476327116212,1.7087278030807,0.816258311386679
2016,4,194.43,"MS",230.17,2782.52083333333,3615.16666666667,0.844723465264804,0.769679821123968,1.09749982016061,1.39476327116212,1.7087278030807,0.816258311386679
2017,1,194.6,"MS",233.1,2803.91666666667,3668.41666666667,0.834834834834835,0.764339746938961,1.09223004322122,1.39598278335725,1.72186684407144,0.810737943043479
2017,1,194.6,"MS",NA,2803.91666666667,3668.41666666667,NA,0.764339746938961,NA,1.39598278335725,1.72186684407144,0.810737943043479
2017,2,195.84,"MS",NA,2827.60416666667,3710.16666666667,NA,0.762123219981133,NA,1.40487804878049,1.73641318253928,0.809068983642498
2017,2,195.84,"MS",237.12,2827.60416666667,3710.16666666667,0.825910931174089,0.762123219981133,1.08369737270902,1.40487804878049,1.73641318253928,0.809068983642498
2017,3,198.95,"MS",240.71,2851.29166666667,3742.58333333333,0.826513231689585,0.761851216851105,1.08487485930093,1.42718794835007,1.75095952100711,0.815089059014445
2017,3,198.95,"MS",NA,2851.29166666667,3742.58333333333,NA,0.761851216851105,NA,1.42718794835007,1.75095952100711,0.815089059014445
2017,4,194.2,"MS",244.33,2874.97916666667,3781.91666666667,0.794826668849507,0.760191040698059,1.04556174211109,1.39311334289813,1.76550585947495,0.789073191358559
2017,4,194.2,"MS",NA,2874.97916666667,3781.91666666667,NA,0.760191040698059,NA,1.39311334289813,1.76550585947495,0.789073191358559
2018,1,200.75,"MS",248.85,2898.66666666667,3843.75,0.806710870002009,0.754124661246612,1.06973145350859,1.44010043041607,1.78005219794279,0.809021461325908
2018,1,200.75,"MS",NA,2898.66666666667,3843.75,NA,0.754124661246612,NA,1.44010043041607,1.78005219794279,0.809021461325908
2018,2,202.58,"MS",251.73,2926.16666666667,3893.41666666667,0.80475112223414,0.75156781746966,1.07076314808627,1.4532281205165,1.79693976766798,0.808723890841628
2018,2,202.58,"MS",NA,2926.16666666667,3893.41666666667,NA,0.75156781746966,NA,1.4532281205165,1.79693976766798,0.808723890841628
2018,3,202.6,"MS",254.93,2953.66666666667,3941.5,0.794727964539285,0.74937629498076,1.06051922093384,1.45337159253945,1.81382733739317,0.801273397184671
2018,3,202.6,"MS",NA,2953.66666666667,3941.5,NA,0.74937629498076,NA,1.45337159253945,1.81382733739317,0.801273397184671
2018,4,205.56,"MS",257.71,2981.16666666667,3988.33333333333,0.797640758992666,0.747471792728792,1.06711820666934,1.47460545193687,1.83071490711837,0.805480660152581
2018,4,205.56,"MS",NA,2981.16666666667,3988.33333333333,NA,0.747471792728792,NA,1.47460545193687,1.83071490711837,0.805480660152581
2019,1,206.94,"MS",NA,3008.66666666667,4041.33333333333,NA,0.744473771032662,NA,1.4845050215208,1.84760247684356,0.803476418832761
2019,1,206.94,"MS",260.84,3008.66666666667,4041.33333333333,0.793359914123601,0.744473771032662,1.06566536658925,1.4845050215208,1.84760247684356,0.803476418832761
2019,2,208.3,"MS",263.89,3077,4056.33333333333,0.78934404486718,0.758566850193114,1.040572817895,1.49426111908178,1.88956552888798,0.790796136062643
2019,2,208.3,"MS",NA,3077,4056.33333333333,NA,0.758566850193114,NA,1.49426111908178,1.88956552888798,0.790796136062643
2019,3,210.55,"MS",267.36,3145.33333333333,4087.41666666667,0.787514961101137,0.769516198087627,1.02338971298881,1.51040172166428,1.9315285809324,0.781972235137813
2019,3,210.55,"MS",NA,3145.33333333333,4087.41666666667,NA,0.769516198087627,NA,1.51040172166428,1.9315285809324,0.781972235137813
2019,4,212.34,"MS",271.82,3213.66666666667,4117.16666666667,0.781178721212567,0.780552969274987,1.00080167773644,1.52324246771879,1.97349163297682,0.771851495220749
2019,4,212.34,"MS",NA,3213.66666666667,4117.16666666667,NA,0.780552969274987,NA,1.52324246771879,1.97349163297682,0.771851495220749
2020,1,215.51,"MS",277.05,3282,4151.33333333333,0.777874029958491,0.790589368877469,0.98391663305942,1.54598278335725,2.01545468502124,0.767064025228111
2020,1,215.51,"MS",NA,3282,4151.33333333333,NA,0.790589368877469,NA,1.54598278335725,2.01545468502124,0.767064025228111
2020,2,219.27,"MS",278.71,3366.25,4542.91666666667,0.786731728319759,0.740988718701275,1.06173239681524,1.57295552367288,2.06719205772478,0.760914070753604
2020,2,219.27,"MS",NA,3366.25,4542.91666666667,NA,0.740988718701275,NA,1.57295552367288,2.06719205772478,0.760914070753604
2020,3,224.44,"MS",NA,3450.5,4418.75,NA,0.780876944837341,NA,1.61004304160689,2.11892943042833,0.759837972178915
2020,3,224.44,"MS",289.21,3450.5,4418.75,0.77604508834411,0.780876944837341,0.993812268981462,1.61004304160689,2.11892943042833,0.759837972178915
2020,4,229.55,"MS",NA,3534.75,4348.5,NA,0.812866505691618,NA,1.64670014347202,2.17066680313188,0.75861488326819
2020,4,229.55,"MS",302.09,3534.75,4348.5,0.759872885563905,0.812866505691618,0.934806490664019,1.64670014347202,2.17066680313188,0.75861488326819
2021,1,235.81,"MS",313.01,3619,4939.08333333333,0.753362512379796,0.732727057989843,1.02816253905863,1.6916068866571,2.22240417583542,0.761160775816672
2021,1,235.81,"MS",NA,3619,4939.08333333333,NA,0.732727057989843,NA,1.6916068866571,2.22240417583542,0.761160775816672
2021,2,243.79,"MS",NA,3597.125,4627.83333333333,NA,0.777280584866928,NA,1.74885222381636,2.20897088173584,0.791704516467906
2021,2,243.79,"MS",327.14,3597.125,4627.83333333333,0.745216115424589,0.777280584866928,0.958747883239835,1.74885222381636,2.20897088173584,0.791704516467906
2021,3,252.52,"MS",341.87,3575.25,4631.41666666667,0.738643343961155,0.77195602497436,0.956846400655644,1.81147776183644,2.19553758763625,0.825072534415913
2021,3,252.52,"MS",NA,3575.25,4631.41666666667,NA,0.77195602497436,NA,1.81147776183644,2.19553758763625,0.825072534415913
2021,4,265.5,"MS",NA,3553.375,4649.83333333333,NA,0.764194057134664,NA,1.90459110473458,2.18210429353667,0.872823132412105
2021,4,265.5,"MS",354.81,3553.375,4649.83333333333,0.748287816014205,0.764194057134664,0.97918559955818,1.90459110473458,2.18210429353667,0.872823132412105
2022,1,273.95,"MS",370.02,3531.5,4591.66666666667,0.74036538565483,0.769110707803993,0.962625247760185,1.96520803443329,2.16867099943708,0.906180806098939
2022,1,273.95,"MS",NA,3531.5,4591.66666666667,NA,0.769110707803993,NA,1.96520803443329,2.16867099943708,0.906180806098939
2022,2,281.19,"MS",NA,3598.5625,4644.91666666667,NA,0.774731337124814,NA,2.01714490674319,2.20985364106238,0.912795702512429
2022,2,281.19,"MS",381.8,3598.5625,4644.91666666667,0.736485070717653,0.774731337124814,0.950632865130898,2.01714490674319,2.20985364106238,0.912795702512429
2022,3,288.44,"MS",381.36,3665.625,4763.83333333333,0.756345710090203,0.769469614806004,0.982944219676421,2.06915351506456,2.25103628268768,0.919200428255223
2022,3,288.44,"MS",NA,3665.625,4763.83333333333,NA,0.769469614806004,NA,2.06915351506456,2.25103628268768,0.919200428255223
2022,4,284.29,"MS",382.39,3732.6875,4850.5,0.74345563430006,0.769546953922276,0.966095220714952,2.03938307030129,2.29221892431298,0.889698208434663
2022,4,284.29,"MS",NA,3732.6875,4850.5,NA,0.769546953922276,NA,2.03938307030129,2.29221892431298,0.889698208434663
2023,1,292.79,"MS",385.71,3799.75,5030.33333333333,0.759093619558736,0.755367437545557,1.00493293968997,2.10035868005739,2.33340156593828,0.900127398008672
2023,1,292.79,"MS",NA,3799.75,5030.33333333333,NA,0.755367437545557,NA,2.10035868005739,2.33340156593828,0.900127398008672
2023,2,296.26,"MS",393.04,3846.29166666667,5111.33333333333,0.75376552004885,0.752502608582236,1.00167828184542,2.12525107604017,2.36198249833683,0.899774269088213
2023,2,296.26,"MS",NA,3846.29166666667,5111.33333333333,NA,0.752502608582236,NA,2.12525107604017,2.36198249833683,0.899774269088213
2023,3,295.45,"MS",401.64,3892.83333333333,5159.16666666667,0.735609003087342,0.754546922952673,0.974901600829245,2.11944045911047,2.39056343073538,0.886586162852202
2023,3,295.45,"MS",NA,3892.83333333333,5159.16666666667,NA,0.754546922952673,NA,2.11944045911047,2.39056343073538,0.886586162852202
2023,4,314.48,"MS",406.66,3939.375,5213.41666666667,0.773324152854965,0.75562251242787,1.02342656569379,2.25595408895265,2.41914436313392,0.932542151403539
2023,4,314.48,"MS",NA,3939.375,5213.41666666667,NA,0.75562251242787,NA,2.25595408895265,2.41914436313392,0.932542151403539
2024,1,300.07,"MS",NA,3985.91666666667,5301.83333333333,NA,0.751799691930464,NA,2.1525824964132,2.44772529553247,0.879421600267825
2024,1,300.07,"MS",411.09,3985.91666666667,5301.83333333333,0.729937483276168,0.751799691930464,0.970920168112654,2.1525824964132,2.44772529553247,0.879421600267825
2000,1,190.41,"UT",136.47,1757.33333333333,2132.83333333333,1.39525170367114,0.823943111666797,1.69338354058038,1,1,1
2000,1,190.41,"UT",NA,1757.33333333333,2132.83333333333,NA,0.823943111666797,NA,1,1,1
2000,2,191.2,"UT",138.76,1773.02083333333,2163,1.37791870856155,0.819704499922946,1.68099444213259,1.00414894175726,1.00892687784522,0.995264338583026
2000,2,191.2,"UT",NA,1773.02083333333,2163,NA,0.819704499922946,NA,1.00414894175726,1.00892687784522,0.995264338583026
2000,3,193.05,"UT",NA,1788.70833333333,2199.66666666667,NA,0.813172450371268,NA,1.01386481802426,1.01785375569044,0.996081030655066
2000,3,193.05,"UT",140.93,1788.70833333333,2199.66666666667,1.36982899311715,0.813172450371268,1.68454919063199,1.01386481802426,1.01785375569044,0.996081030655066
2000,4,192.86,"UT",NA,1804.39583333333,2221.08333333333,NA,0.812394477169549,NA,1.01286697127252,1.02678063353566,0.986449235787364
2000,4,192.86,"UT",143.4,1804.39583333333,2221.08333333333,1.34490934449093,0.812394477169549,1.65548804464638,1.01286697127252,1.02678063353566,0.986449235787364
2001,1,194.43,"UT",146.04,1820.08333333333,2250.25,1.33134757600657,0.80883605525312,1.64600423949936,1.02111233653695,1.03570751138088,0.985908014875286
2001,1,194.43,"UT",NA,1820.08333333333,2250.25,NA,0.80883605525312,NA,1.02111233653695,1.03570751138088,0.985908014875286
2001,2,195.05,"UT",NA,1835.375,2253.75,NA,0.814364947310039,NA,1.02436846804264,1.04440914264036,0.980811471501432
2001,2,195.05,"UT",148.39,1835.375,2253.75,1.31444167396725,0.814364947310039,1.61406956218957,1.02436846804264,1.04440914264036,0.980811471501432
2001,3,195.32,"UT",150.65,1850.66666666667,2300.41666666667,1.29651510122801,0.804491939865966,1.61159489235407,1.02578646079513,1.05311077389985,0.974053714213239
2001,3,195.32,"UT",NA,1850.66666666667,2300.41666666667,NA,0.804491939865966,NA,1.02578646079513,1.05311077389985,0.974053714213239
2001,4,196.37,"UT",NA,1865.95833333333,2257.41666666667,NA,0.826590128834582,NA,1.03130087705478,1.06181240515933,0.97126467165358
2001,4,196.37,"UT",153.03,1865.95833333333,2257.41666666667,1.28321244200484,0.826590128834582,1.55241684753004,1.03130087705478,1.06181240515933,0.97126467165358
2002,1,197.3,"UT",155.54,1881.25,2311.08333333333,1.26848399125627,0.814012187646486,1.55831080972359,1.03618507431332,1.07051403641882,0.967932263438289
2002,1,197.3,"UT",NA,1881.25,2311.08333333333,NA,0.814012187646486,NA,1.03618507431332,1.07051403641882,0.967932263438289
2002,2,197.38,"UT",NA,1895.8125,2341.66666666667,NA,0.809599644128114,NA,1.03660522031406,1.07880073975721,0.960886642094216
2002,2,197.38,"UT",158.4,1895.8125,2341.66666666667,1.24608585858586,0.809599644128114,1.53913834772965,1.03660522031406,1.07880073975721,0.960886642094216
2002,3,198.09,"UT",161.42,1910.375,2350.66666666667,1.2271713542312,0.812694980147476,1.51000237999318,1.04033401607058,1.0870874430956,0.956992027346136
2002,3,198.09,"UT",NA,1910.375,2350.66666666667,NA,0.812694980147476,NA,1.04033401607058,1.0870874430956,0.956992027346136
2002,4,201.28,"UT",164.67,1924.9375,2370.33333333333,1.22232343474828,0.812095696807763,1.50514704061735,1.0570873378499,1.09537414643399,0.965046821025737
2002,4,201.28,"UT",NA,1924.9375,2370.33333333333,NA,0.812095696807763,NA,1.0570873378499,1.09537414643399,0.965046821025737
2003,1,200.41,"UT",167.55,1939.5,2384.08333333333,1.19612056102656,0.813520220909504,1.47030218829633,1.05251825009191,1.10366084977238,0.953660946031543
2003,1,200.41,"UT",NA,1939.5,2384.08333333333,NA,0.813520220909504,NA,1.05251825009191,1.10366084977238,0.953660946031543
2003,2,203.2,"UT",170.24,1963.5625,2408.25,1.19360902255639,0.815348281947472,1.463925354335,1.06717084186755,1.11735347116844,0.955087955069034
2003,2,203.2,"UT",NA,1963.5625,2408.25,NA,0.815348281947472,NA,1.06717084186755,1.11735347116844,0.955087955069034
2003,3,204.88,"UT",173.6,1987.625,2459.25,1.18018433179724,0.808224052048389,1.46021926569265,1.07599390788299,1.13104609256449,0.951326311948367
2003,3,204.88,"UT",NA,1987.625,2459.25,NA,0.808224052048389,NA,1.07599390788299,1.13104609256449,0.951326311948367
2003,4,205.44,"UT",177.5,2011.6875,2472.16666666667,1.15740845070423,0.81373457830513,1.42234148770587,1.07893492988814,1.14473871396055,0.942516328599787
2003,4,205.44,"UT",NA,2011.6875,2472.16666666667,NA,0.81373457830513,NA,1.07893492988814,1.14473871396055,0.942516328599787
2004,1,209.19,"UT",NA,2035.75,2497.58333333333,NA,0.815087918321044,NA,1.0986292736726,1.1584313353566,0.948376688493504
2004,1,209.19,"UT",181.44,2035.75,2497.58333333333,1.15294312169312,0.815087918321044,1.4145015473521,1.0986292736726,1.1584313353566,0.948376688493504
2004,2,212.87,"UT",186.01,2060.79166666667,2534.66666666667,1.14440083866459,0.813042477643346,1.40755356593632,1.11795598970642,1.17268114567527,0.953333302773168
2004,2,212.87,"UT",NA,2060.79166666667,2534.66666666667,NA,0.813042477643346,NA,1.11795598970642,1.17268114567527,0.953333302773168
2004,3,216.46,"UT",190.81,2085.83333333333,2557.16666666667,1.13442691682826,0.815681418236329,1.39077204833368,1.13681004148942,1.18693095599393,0.957772678982375
2004,3,216.46,"UT",NA,2085.83333333333,2557.16666666667,NA,0.815681418236329,NA,1.13681004148942,1.18693095599393,0.957772678982375
2004,4,221.96,"UT",195.51,2110.875,2602.58333333333,1.1352871975858,0.811069130031059,1.39974159482845,1.16569507903997,1.20118076631259,0.970457662769973
2004,4,221.96,"UT",NA,2110.875,2602.58333333333,NA,0.811069130031059,NA,1.16569507903997,1.20118076631259,0.970457662769973
2005,1,226.7,"UT",200.36,2135.91666666667,2576.75,1.13146336594131,0.828918857734226,1.36498688066291,1.19058872958353,1.21543057663126,0.979561278508739
2005,1,226.7,"UT",NA,2135.91666666667,2576.75,NA,0.828918857734226,NA,1.19058872958353,1.21543057663126,0.979561278508739
2005,2,232.91,"UT",205.66,2175.52083333333,2611.08333333333,1.13250024311971,0.833187055181438,1.35923888408599,1.2232025628906,1.23796709028832,0.988073570361008
2005,2,232.91,"UT",NA,2175.52083333333,2611.08333333333,NA,0.833187055181438,NA,1.2232025628906,1.23796709028832,0.988073570361008
2005,3,242.97,"UT",NA,2215.125,2642.33333333333,NA,0.838321559227955,NA,1.27603592248306,1.26050360394537,1.01232231188318
2005,3,242.97,"UT",211.09,2215.125,2642.33333333333,1.15102562887868,0.838321559227955,1.37301208135301,1.27603592248306,1.26050360394537,1.01232231188318
2005,4,253.25,"UT",NA,2254.72916666667,2680.5,NA,0.841159920412858,NA,1.33002468357754,1.28304011760243,1.03661971697574
2005,4,253.25,"UT",215.57,2254.72916666667,2680.5,1.17479241081783,0.841159920412858,1.39663384132856,1.33002468357754,1.28304011760243,1.03661971697574
2006,1,262.79,"UT",218.72,2294.33333333333,2738.41666666667,1.20149049012436,0.837832080581845,1.43404689074446,1.38012709416522,1.30557663125948,1.05710156042991
2006,1,262.79,"UT",NA,2294.33333333333,2738.41666666667,NA,0.837832080581845,NA,1.38012709416522,1.30557663125948,1.05710156042991
2006,2,273.13,"UT",NA,2325.27083333333,2766.5,NA,0.840509970480149,NA,1.43443096476025,1.32318143019727,1.08407730944833
2006,2,273.13,"UT",220.23,2325.27083333333,2766.5,1.24020342369341,0.840509970480149,1.47553683745707,1.43443096476025,1.32318143019727,1.08407730944833
2006,3,283.49,"UT",220.56,2356.20833333333,2783.25,1.28531918752267,0.846567262492889,1.51827178355301,1.48883987185547,1.34078622913505,1.11042300368488
2006,3,283.49,"UT",NA,2356.20833333333,2783.25,NA,0.846567262492889,NA,1.48883987185547,1.34078622913505,1.11042300368488
2006,4,296.03,"UT",NA,2387.14583333333,2805.33333333333,NA,0.850931261882129,NA,1.55469775747072,1.35839102807284,1.14451415339248
2006,4,296.03,"UT",221.6,2387.14583333333,2805.33333333333,1.33587545126354,0.850931261882129,1.56989819401956,1.55469775747072,1.35839102807284,1.14451415339248
2007,1,306.01,"UT",222.93,2418.08333333333,2846.33333333333,1.37267303637913,0.849543272045907,1.61577765553178,1.60711097106244,1.37599582701062,1.1679620966249
2007,1,306.01,"UT",NA,2418.08333333333,2846.33333333333,NA,0.849543272045907,NA,1.60711097106244,1.37599582701062,1.1679620966249
2007,2,314.57,"UT",NA,2441.45833333333,2878.25,NA,0.848244014013145,NA,1.65206659314112,1.3892972306525,1.18913833317382
2007,2,314.57,"UT",222.31,2441.45833333333,2878.25,1.41500607260132,0.848244014013145,1.66815921978248,1.65206659314112,1.3892972306525,1.18913833317382
2007,3,316.39,"UT",219.45,2464.83333333333,2891.91666666667,1.44174071542493,0.852318243379535,1.69155210113568,1.66162491465784,1.40259863429439,1.18467598215919
2007,3,316.39,"UT",NA,2464.83333333333,2891.91666666667,NA,0.852318243379535,NA,1.66162491465784,1.40259863429439,1.18467598215919
2007,4,312.32,"UT",215.44,2488.20833333333,2917.5,1.44968436687709,0.852856326763782,1.69979904162523,1.64024998687044,1.41590003793627,1.15845041522929
2007,4,312.32,"UT",NA,2488.20833333333,2917.5,NA,0.852856326763782,NA,1.64024998687044,1.41590003793627,1.15845041522929
2008,1,310.43,"UT",210.5,2511.58333333333,2947.33333333333,1.47472684085511,0.852154489934404,1.73058624729963,1.63032403760307,1.42920144157815,1.14072375675946
2008,1,310.43,"UT",NA,2511.58333333333,2947.33333333333,NA,0.852154489934404,NA,1.63032403760307,1.42920144157815,1.14072375675946
